date,store_id,sales,year,month,quarter,weekofyear,is_month_start,is_month_end,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_3_mean,rolling_6_mean,cluster
2011-01-31,113,2388927.54,2011,1,1,5,0,1,6241188.7,8084604.54,6295946.02,26487.87,5042532.72,6873913.086666651,4603890.203333332,0
2011-01-31,142,4348646.05,2011,1,1,5,0,1,10187040.18,4721327.55,6228209.1,9508431.43,7432740.2,7045525.6099999845,6207877.658333332,0
2011-01-31,165,1192031.5,2011,1,1,5,0,1,3610464.18,793919.2,3470295.83,3167527.16,2889126.5,2624893.069999986,3123730.644999997,0
2011-01-31,141,7322812.729999999,2011,1,1,5,0,1,1159037.57,5065190.4,3553002.33,2538503.5,6068487.24,3259076.7666666503,2555406.7616666663,2
2011-01-31,140,6213845.82,2011,1,1,5,0,1,1683434.72,3755513.25,2267737.9,8911944.73,1631810.2000000002,2568895.289999982,4320677.993333333,0
2011-01-31,72,261686.89,2011,1,1,5,0,1,6087224.31,4306252.62,7361422.56,2410779.42,161709.6,5918299.829999994,4636927.656666664,0
2011-01-31,30,7933584.54,2011,1,1,5,0,1,11079785.48,3594991.04,5514229.92,1876734.84,6532586.71,6729668.8133333335,6036495.844999999,1
2011-01-31,29,1798886.53,2011,1,1,5,0,1,45468.8,7392167.6,284409.12,2577682.83,3965277.0,2574015.1733333324,3275434.609999998,0
2011-01-31,74,668639.02,2011,1,1,5,0,1,3433818.34,1112074.67,9125944.03,3368447.39,227700.68,4557279.013333327,4696566.359999999,0
2011-01-31,167,84888.05,2011,1,1,5,0,1,4583056.680000001,2159107.36,2869343.6,10398898.49,4248272.4,3203835.879999988,4510825.271666665,0
2011-01-31,137,3345964.27,2011,1,1,5,0,1,8387670.979999999,2793637.0700000003,2363276.21,1723645.64,11729148.64,4514861.41999998,3779302.561666666,1
2011-01-31,76,4935274.6,2011,1,1,5,0,1,3608846.54,2868507.79,412008.35,4030891.86,185088.38,2296454.226666661,3191865.104999998,2
